source_index	target_index	relation
322	13724	strict
322	13732	strict
322	13734	strict
322	13736	strict
322	14030	strict
323	1600	equal
323	13724	strict
323	13736	strict
324	1601	equal
324	1602	strict
324	1762	strict
324	2308	strict
324	2362	strict
324	2448	strict
324	2687	strict
324	2689	strict
324	2710	strict
324	2713	strict
324	2715	strict
324	2717	strict
324	3760	strict
324	10931	strict
324	10935	strict
324	14051	strict
325	1602	equal
325	2710	strict
325	2717	strict
326	1603	equal
326	1604	strict
326	1763	strict
326	2310	strict
326	2364	strict
326	2366	strict
326	2398	strict
326	2449	strict
326	2550	strict
326	2551	strict
326	2553	strict
326	2555	strict
326	3761	strict
326	10933	strict
326	10936	strict
326	10973	strict
327	1604	equal
327	2550	strict
327	2555	strict
328	1605	equal
328	1606	strict
328	1613	strict
328	1617	strict
328	1627	strict
328	1631	strict
328	1764	strict
328	1770	strict
328	2326	strict
328	12705	strict
328	12707	strict
328	12746	strict
328	12754	strict
328	12756	strict
328	12758	strict
328	14032	strict
329	1606	equal
329	12746	strict
329	12758	strict
330	1607	equal
330	1608	strict
330	1615	strict
330	1618	strict
330	1629	strict
330	1632	strict
330	1765	strict
330	1771	strict
330	2344	strict
330	2346	strict
330	2502	strict
330	2503	strict
330	2505	strict
330	2507	strict
330	3765	strict
330	10951	strict
331	1608	equal
331	2502	strict
331	2507	strict
332	1609	equal
332	12758	strict
333	1610	equal
333	2507	strict
334	1611	equal
335	1612	equal
336	1613	equal
336	1770	strict
336	12705	strict
336	12754	strict
336	12756	strict
336	12758	strict
337	1614	equal
337	12758	strict
338	1615	equal
338	1771	strict
338	2344	strict
338	2503	strict
338	2505	strict
338	2507	strict
339	1616	equal
339	2507	strict
340	1617	equal
341	1618	equal
342	1619	equal
342	13225	strict
343	1620	equal
343	3764	strict
344	1621	equal
345	1622	equal
346	1623	equal
346	1791	strict
347	1624	equal
347	1792	strict
348	1625	equal
348	1794	strict
349	1626	equal
349	1797	strict
350	1627	equal
351	1628	equal
352	1629	equal
353	1630	equal
354	1631	equal
354	14032	strict
355	1632	equal
355	3765	strict
356	1633	equal
356	13944	strict
357	1634	equal
358	1635	equal
358	2778	strict
359	1636	equal
360	1640	equal
360	1646	strict
360	1751	strict
360	2450	strict
360	3897	strict
360	3899	strict
