canonical_graph6,n,m,origin_count,gamma,alpha,earliest_forced_rank,latest_forced_rank,full_kernel_deletion_depth
KoSrb\kfUlvU,12,37,2,3,4,,,
KoSrzDkfUjvM,12,37,2,3,4,,,
KoSyblhfld|p,12,37,4,3,4,,,
KoSzrLkfTdyN,12,37,4,3,4,,,
KoYu~_VMyzLf,12,39,4,3,3,5,6,6
KoZT~_NLYvne,12,39,4,2,4,,,
KpOjJxyfK{yZ,12,37,4,3,4,,,
KpZT^_VFyVnd,12,39,4,3,3,3,4,4
Kp]e~_VByjlf,12,39,4,2,3,,,
Kp]e~_VDyZlf,12,39,4,3,3,5,6,6
KqHHbL}fc}~I,12,37,2,3,4,,,
KqIu^o^DzwlV,12,39,4,2,3,,,
KqJL_p~xs}NJ,12,38,2,2,3,,,
KqJcop~rtmNJ,12,38,2,2,4,,,
KqL@G{^[jY~o,12,35,1,3,4,,,
KqL@Jdlfk}~o,12,37,1,3,4,,,
KqL@J|qZK{rt,12,36,1,3,4,,,
KqYu^_VBxvne,12,39,4,2,3,,,
Kqnsr?^]PNw^,12,38,4,3,3,3,3,4
Kr^T^?VBxjh^,12,39,4,3,3,4,4,4
KrjB|jWUW^c~,12,39,4,2,3,,,
Krqb}iwFW^k^,12,39,2,3,4,,,
Krqb}iw[W^`~,12,39,2,3,3,5,6,6
KrrDthx\_^`~,12,39,1,3,3,5,6,6
KrusZ@VMvB`~,12,38,2,3,3,2,3,3
Krv`zahDyNp^,12,39,4,2,3,,,
Krv`|`TBzFp^,12,39,4,2,3,,,
KrzP|`pB{Nh^,12,39,2,3,3,4,5,5
KsWU|zcVX|K^,12,39,2,2,4,,,
KsXTxzduQ\e^,12,39,2,2,4,,,
KsuvB?^TxvLj,12,38,2,2,4,,,
KtC@]~mXqxnb,12,38,4,3,4,,,
